13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-3T16:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-3T19:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-3T22:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-4T1:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-4T4:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-4T7:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-4T10:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-4T13:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-4T16:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-4T19:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-4T22:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-5T1:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-5T4:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-5T7:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-5T10:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-5T13:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-5T16:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-5T19:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-5T22:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-6T1:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-6T4:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-6T7:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-6T10:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-6T13:0:0Z
13/08/16-17:06:53 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:53 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-6T16:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-6T19:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-6T22:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-7T1:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-7T4:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-7T7:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-7T10:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-7T13:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-7T16:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-7T19:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-7T22:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-8T1:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-8T4:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-8T7:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-8T10:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-8T13:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-8T16:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-8T19:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-8T22:0:0Z
13/08/16-17:06:54 - ERROR     - DBInterface - Aborted parsing InfluxDB-Json to databuffer. Unable to find 'series' in JSON
13/08/16-17:06:54 - ERROR     - ArchiveDataPreprocessor - Data missing at 2014-11-9T1:0:0Z
