Windrichtung_Stundenmittel_Forecast,Windrichtung_Stundenmittel_WeatherStation,Windgeschwindigkeit_Stundenmittel_Forecast,Windgeschwindigkeit_Stundenmittel_WeatherStation,RelativeLuftfeuchte_2m_Forecast,RelativeLuftfeuchte_2m_WeatherStation,Lufttemperatur_2m_Forecast,Lufttemperatur_2m_WeatherStation
1.56141,-1.94752,-1.0313,-0.56583,0.913827,0.914079,1.10221,1.12277
1.54911,-2.06011,-0.945519,-0.536612,0.925933,0.305264,1.10893,1.32897
1.5368,-2.06011,-0.859736,-0.419741,0.938039,0.0443435,1.11563,1.32897
1.41773,-2.06011,-0.612467,-0.682701,1.04296,0.479211,1.11563,1.27742
1.35819,1.65537,-0.488833,-0.56583,1.09541,0.392238,1.11563,1.43208
1.36413,1.76796,-0.480746,-0.595048,1.1156,1.08803,1.13573,1.22587
1.37007,1.76796,-0.472661,-0.56583,1.13576,1.08803,1.15584,1.27742
1.48077,-1.49716,-0.643556,-0.682701,1.15594,1.00105,1.18936,1.10558
1.58554,-1.49716,-0.822538,-0.974879,1.15594,0.914079,1.20275,1.12277
1.6903,-1.49716,-1.00152,-1.09175,1.15594,0.827105,1.21616,1.0884
0.476927,-1.60975,-0.960511,-1.06253,1.30121,0.914079,1.22286,1.07121
-1.94981,-1.72234,-0.878489,-1.06253,1.59175,0.914079,1.23627,0.985295
-1.78617,-1.72234,-0.752051,-0.858008,1.50701,0.827105,1.20947,0.985295
-1.62253,-1.72234,-0.625614,-0.887225,1.42227,0.914079,1.18264,0.916559
-1.45889,-1.49716,-0.499174,-0.887225,1.33753,0.827105,1.15584,0.847823
-1.43092,-1.38456,-0.51961,-0.82879,1.04699,1.08803,1.062,0.761903
-1.41694,-1.38456,-0.529827,-0.82879,0.901721,0.914079,1.01509,0.830639
-1.44043,-1.49716,-0.61734,-0.682701,0.69189,0.392238,1.0352,1.10558
-1.46392,-1.38456,-0.704851,-0.30287,0.482047,-0.129603,1.0553,1.26024
-1.56822,-1.38456,-0.830138,-0.478177,0.0785227,-1.43421,1.15584,1.6211
-1.64903,-1.38456,-0.867912,-0.536612,-0.115171,-1.86907,1.23627,1.72421
-1.72983,-1.38456,-0.905688,-0.507395,-0.308865,-2.12999,1.3167,1.75857
-1.75483,-1.38456,-0.876126,-0.507395,-0.417817,-2.04302,1.35691,1.87886
-1.80482,-1.38456,-0.816997,-0.711919,-0.635723,-2.21697,1.43734,1.77576
-1.73175,-1.49716,-0.746344,-0.56583,-0.559057,-2.12999,1.43065,1.68984
-1.65869,-1.38456,-0.675693,-0.507395,-0.482378,-1.60815,1.42393,1.48363
-1.58562,-1.38456,-0.60504,-0.711919,-0.405712,-0.738418,1.41724,1.13995
-1.43589,-1.38456,-0.526548,-0.858008,-0.30079,0.131317,1.28318,0.710351
-1.36102,-1.38456,-0.487302,-0.82879,-0.248335,0.392238,1.21616,0.607248
-1.30047,-1.27197,-0.426745,-1.03331,-0.0909593,0.827105,1.17595,0.418224
-1.23992,-1.27197,-0.36619,-1.03331,0.0664168,1.08803,1.13573,0.332304
-1.15823,-1.27197,-0.344717,-0.916443,0.243973,1.34895,1.0352,0.280752
-1.1371,-1.27197,-0.3838,-0.974879,0.264142,1.34895,0.974875,0.177648
-1.11596,-1.27197,-0.422885,-1.0041,0.284322,1.34895,0.914553,0.160464
-1.11495,-1.27197,-0.444016,-1.0041,0.316609,1.43592,0.874338,0.0229927
-1.11293,-1.27197,-0.486281,-1.20862,0.381169,1.34895,0.793909,0.212016
-1.13502,-1.27197,-0.567688,-1.03331,0.102734,0.914079,0.860927,0.744719
