x,Forecast,Real
287,0.731769,1.01966
288,0.441337,0.985295
289,0.640866,0.985295
290,1.12345,1.12277
291,0.978119,0.985295
292,1.02207,1.00248
293,0.876991,0.813455
294,0.901276,0.950927
295,0.884856,0.796271
296,0.809075,0.607248
297,0.904708,0.538512
298,0.746939,0.590064
299,0.888905,0.452592
300,0.611234,0.504144
301,0.476776,0.366672
302,0.492506,0.332304
303,0.453495,0.349488
304,0.293466,0.383856
305,0.46754,0.297936
306,0.375312,0.280752
307,0.156585,0.297936
308,0.333838,0.435408
309,0.342969,0.469776
310,0.369364,0.418224
311,0.403517,0.521328
312,0.531948,0.40104
313,0.540467,0.452592
314,0.42485,0.624432
315,0.297781,0.2292
316,0.40342,0.332304
317,0.329423,0.349488
318,0.50637,0.830639
319,0.496874,0.555696
320,0.27694,0.504144
321,0.201725,0.48696
322,0.43326,0.40104
323,0.811827,0.607248
324,0.472061,0.641616
325,0.386114,0.641616
326,0.382916,0.624432
327,0.327892,0.521328
328,0.640885,0.693168
329,0.55004,0.521328
330,0.561148,0.418224
331,0.520079,0.332304
332,0.468396,0.194832
333,0.697248,0.607248
334,0.459952,0.263568
335,0.385478,0.0745446
336,0.08586,0.0401766
337,0.18542,0.212016
338,0.566178,0.246384
339,0.098883,-0.68155
340,-0.0726257,-0.904942
341,0.058715,-1.14552
342,0.358704,0.0401766
343,0.105209,0.0745446
344,-0.148129,0.0573606
345,-0.413587,0.177648
346,-0.418805,0.31512
347,0.241056,0.263568
348,0.257077,0.607248
349,0.24314,0.504144
350,0.370941,0.31512
351,0.223473,0.418224
352,0.323832,0.882191
353,0.502376,0.641616
354,0.439184,0.6588
355,0.412318,0.57288
356,0.404239,0.590064
357,0.864501,0.865007
358,0.57953,0.710351
359,0.616767,0.6588
360,0.515488,0.452592
361,0.538248,0.469776
362,0.758732,0.641616
363,0.66842,0.6588
364,0.630389,0.435408
365,0.300592,0.2292
366,0.375876,0.349488
367,0.662291,0.14328
368,0.597337,0.0745446
369,0.329368,-0.440975
370,0.0530657,-0.183215
371,0.379165,0.14328
372,0.140401,-0.0113753
373,-0.062071,-0.251951
374,-0.319754,-0.337871
375,-0.297823,-0.320687
376,0.246385,0.0401766
377,0.0307639,-0.114479
378,-0.165691,-0.286319
379,-0.27448,-0.440975
380,-0.160039,-0.492526
381,0.0238442,-0.286319
382,-0.175863,-0.166031
383,-0.356579,-0.148847
384,-0.448728,-0.0972951
385,-0.496626,0.126096
386,-0.150249,0.212016
387,-0.231204,-0.114479
388,-0.0985606,-0.303503
389,-0.216893,-0.423791
390,0.0862366,0.0917285
391,0.111277,0.00580869
392,-0.183287,-0.320687
393,-0.286344,-0.148847
394,-0.291116,-0.148847
395,0.15584,0.0229927
396,-0.0902822,0.0229927
397,-0.16881,-0.0629272
398,-0.0418667,-0.131663
399,-0.174948,-0.50971
400,-0.02801,0.0573606
401,-0.122218,-0.200399
402,-0.169155,-0.183215
403,-0.309206,-0.114479
404,-0.315161,0.0229927
405,0.0550548,-0.0113753
406,-0.0811288,-0.0113753
407,-0.114044,-0.0457432
408,-0.0359786,-0.0801112
409,0.0279312,0.126096
410,0.0342164,0.0917285
411,-0.0645772,0.0229927
412,-0.185421,-0.0972951
413,-0.0624277,-0.0629272
414,0.0652479,0.2292
415,-0.077585,0.126096
416,-0.21845,0.2292
417,-0.148721,-0.0801112
418,-0.19051,-0.0113753
419,0.189389,0.00580869
